# darshan log version: 3.41
# compression method: ZLIB
# exe: /mnt/IOLustre/io500/io500 Trace_Dataset/ior-easy/ior-easy_api_POSIX_blockSize_1073741824_transferSize_1M_filePerProc_False_uniqueDir_True_.ini --timestamp 2024.01.10-22.43.46
# uid: 0
# jobid: 1134332
# start_time: 1704944627
# start_time_asci: Wed Jan 10 22:43:47 2024
# end_time: 1704944641
# end_time_asci: Wed Jan 10 22:44:01 2024
# nprocs: 1
# run time: 14.1699
# metadata: lib_ver = 3.4.2
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 362 bytes (compressed)
# record table: 203 bytes (compressed)
# POSIX module: 195 bytes (compressed), ver=4
# LUSTRE module: 0 bytes (compressed), ver=1
# STDIO module: 0 bytes (compressed), ver=2
# DXT_POSIX module: 18850 bytes (compressed), ver=1
# HEATMAP module: 0 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/mnt/IOLustre	lustre
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/boot/efi	vfat
# mount entry:	/client	ext4
# mount entry:	/home	ext4
# mount entry:	/boot	ext4
# mount entry:	/dev	devtmpfs
# mount entry:	/var	ext4
# mount entry:	/	ext4

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 8334402757700283061, file_name: /mnt/IOLustre/io500/datafiles/2024.01.10-22.43.46/ior-easy/ior_file_easy
# DXT, rank: 0, hostname: lab3
# DXT, write_count: 1024, read_count: 1024, open_count: 0, stat_count: 0
# DXT, mnt_pt: /mnt/IOLustre, fs_type: lustre
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write       69        72351744         1048576      0.3547      0.3555
 X_POSIX       0  write       70        73400320         1048576      0.3555      0.3563
 X_POSIX       0  write       71        74448896         1048576      0.3564      0.3572
 X_POSIX       0  write       72        75497472         1048576      0.3572      0.3639
 X_POSIX       0  write       73        76546048         1048576      0.3639      0.3726
 X_POSIX       0  write       74        77594624         1048576      0.3726      0.3823
 X_POSIX       0  write       75        78643200         1048576      0.3823      0.3938
 X_POSIX       0  write       76        79691776         1048576      0.3938      0.4018
 X_POSIX       0  write       77        80740352         1048576      0.4018      0.4100
 X_POSIX       0  write       78        81788928         1048576      0.4101      0.4200
 X_POSIX       0  write       79        82837504         1048576      0.4200      0.4310
 X_POSIX       0  write       80        83886080         1048576      0.4310      0.4381
 X_POSIX       0  write       81        84934656         1048576      0.4381      0.4461
 X_POSIX       0  write       82        85983232         1048576      0.4461      0.4550
 X_POSIX       0  write       83        87031808         1048576      0.4550      0.4660
 X_POSIX       0  write       84        88080384         1048576      0.4660      0.4772
 X_POSIX       0  write       85        89128960         1048576      0.4772      0.4861
 X_POSIX       0  write       86        90177536         1048576      0.4861      0.4961
 X_POSIX       0  write       87        91226112         1048576      0.4961      0.5070
 X_POSIX       0  write       88        92274688         1048576      0.5070      0.5203
 X_POSIX       0  write       89        93323264         1048576      0.5204      0.5280
 X_POSIX       0  write       90        94371840         1048576      0.5280      0.5381
 X_POSIX       0  write       91        95420416         1048576      0.5381      0.5491
 X_POSIX       0  write       92        96468992         1048576      0.5491      0.5610
 X_POSIX       0  write       93        97517568         1048576      0.5610      0.5750
 X_POSIX       0  write       94        98566144         1048576      0.5750      0.5838
 X_POSIX       0  write       95        99614720         1048576      0.5838      0.5951
 X_POSIX       0  write       96       100663296         1048576      0.5951      0.6071
 X_POSIX       0  write       97       101711872         1048576      0.6071      0.6211
 X_POSIX       0  write       98       102760448         1048576      0.6211      0.6331
 X_POSIX       0  write       99       103809024         1048576      0.6331      0.6471
 X_POSIX       0  write      100       104857600         1048576      0.6471      0.6611
 X_POSIX       0  write      101       105906176         1048576      0.6611      0.6760
 X_POSIX       0  write      102       106954752         1048576      0.6761      0.6891
 X_POSIX       0  write      103       108003328         1048576      0.6891      0.7030
 X_POSIX       0  write      104       109051904         1048576      0.7030      0.7151
 X_POSIX       0  write      105       110100480         1048576      0.7151      0.7315
 X_POSIX       0  write      106       111149056         1048576      0.7315      0.7335
 X_POSIX       0  write      107       112197632         1048576      0.7335      0.7477
 X_POSIX       0  write      108       113246208         1048576      0.7477      0.7600
 X_POSIX       0  write      109       114294784         1048576      0.7600      0.7730
 X_POSIX       0  write      110       115343360         1048576      0.7730      0.7861
 X_POSIX       0  write      111       116391936         1048576      0.7861      0.7971
 X_POSIX       0  write      112       117440512         1048576      0.7971      0.8088
 X_POSIX       0  write      113       118489088         1048576      0.8089      0.8221
 X_POSIX       0  write      114       119537664         1048576      0.8221      0.8361
 X_POSIX       0  write      115       120586240         1048576      0.8361      0.8459
 X_POSIX       0  write      116       121634816         1048576      0.8459      0.8570
 X_POSIX       0  write      117       122683392         1048576      0.8571      0.8690
 X_POSIX       0  write      118       123731968         1048576      0.8690      0.8820
 X_POSIX       0  write      119       124780544         1048576      0.8820      0.8960
 X_POSIX       0  write      120       125829120         1048576      0.8960      0.9070
 X_POSIX       0  write      121       126877696         1048576      0.9070      0.9191
 X_POSIX       0  write      122       127926272         1048576      0.9191      0.9322
 X_POSIX       0  write      123       128974848         1048576      0.9323      0.9421
 X_POSIX       0  write      124       130023424         1048576      0.9421      0.9530
 X_POSIX       0  write      125       131072000         1048576      0.9530      0.9670
 X_POSIX       0  write      126       132120576         1048576      0.9670      0.9790
 X_POSIX       0  write      127       133169152         1048576      0.9791      0.9931
 X_POSIX       0  write      128       134217728         1048576      0.9931      1.0070
 X_POSIX       0  write      129       135266304         1048576      1.0070      1.0221
 X_POSIX       0  write      130       136314880         1048576      1.0221      1.0371
 X_POSIX       0  write      131       137363456         1048576      1.0371      1.0510
 X_POSIX       0  write      132       138412032         1048576      1.0510      1.0650
 X_POSIX       0  write      133       139460608         1048576      1.0650      1.0780
 X_POSIX       0  write      134       140509184         1048576      1.0780      1.0910
 X_POSIX       0  write      135       141557760         1048576      1.0910      1.1021
 X_POSIX       0  write      136       142606336         1048576      1.1021      1.1140
 X_POSIX       0  write      137       143654912         1048576      1.1141      1.1270
 X_POSIX       0  write      138       144703488         1048576      1.1270      1.1427
 X_POSIX       0  write      139       145752064         1048576      1.1427      1.1500
 X_POSIX       0  write      140       146800640         1048576      1.1500      1.1610
 X_POSIX       0  write      141       147849216         1048576      1.1611      1.1731
 X_POSIX       0  write      142       148897792         1048576      1.1731      1.1860
 X_POSIX       0  write      143       149946368         1048576      1.1860      1.2001
 X_POSIX       0  write      144       150994944         1048576      1.2001      1.2142
 X_POSIX       0  write      145       152043520         1048576      1.2142      1.2303
 X_POSIX       0  write      146       153092096         1048576      1.2303      1.2420
 X_POSIX       0  write      147       154140672         1048576      1.2421      1.2563
 X_POSIX       0  write      148       155189248         1048576      1.2563      1.2681
 X_POSIX       0  write      149       156237824         1048576      1.2681      1.2810
 X_POSIX       0  write      150       157286400         1048576      1.2810      1.2940
 X_POSIX       0  write      151       158334976         1048576      1.2940      1.3050
 X_POSIX       0  write      152       159383552         1048576      1.3050      1.3171
 X_POSIX       0  write      153       160432128         1048576      1.3171      1.3300
 X_POSIX       0  write      154       161480704         1048576      1.3300      1.3430
 X_POSIX       0  write      155       162529280         1048576      1.3430      1.3568
 X_POSIX       0  write      156       163577856         1048576      1.3568      1.3691
 X_POSIX       0  write      157       164626432         1048576      1.3691      1.3820
 X_POSIX       0  write      158       165675008         1048576      1.3821      1.3951
 X_POSIX       0  write      159       166723584         1048576      1.3951      1.4090
 X_POSIX       0  write      160       167772160         1048576      1.4091      1.4231
 X_POSIX       0  write      161       168820736         1048576      1.4231      1.4381
 X_POSIX       0  write      162       169869312         1048576      1.4381      1.4510
 X_POSIX       0  write      163       170917888         1048576      1.4511      1.4650
 X_POSIX       0  write      164       171966464         1048576      1.4650      1.4770
 X_POSIX       0  write      165       173015040         1048576      1.4771      1.4900
 X_POSIX       0  write      166       174063616         1048576      1.4900      1.5030
 X_POSIX       0  write      167       175112192         1048576      1.5030      1.5140
 X_POSIX       0  write      168       176160768         1048576      1.5140      1.5251
 X_POSIX       0  write      169       177209344         1048576      1.5251      1.5380
 X_POSIX       0  write      170       178257920         1048576      1.5380      1.5513
 X_POSIX       0  write      171       179306496         1048576      1.5513      1.5620
 X_POSIX       0  write      172       180355072         1048576      1.5620      1.5750
 X_POSIX       0  write      173       181403648         1048576      1.5750      1.5871
 X_POSIX       0  write      174       182452224         1048576      1.5871      1.6001
 X_POSIX       0  write      175       183500800         1048576      1.6001      1.6108
 X_POSIX       0  write      176       184549376         1048576      1.6108      1.6247
 X_POSIX       0  write      177       185597952         1048576      1.6247      1.6394
 X_POSIX       0  write      178       186646528         1048576      1.6394      1.6528
 X_POSIX       0  write      179       187695104         1048576      1.6528      1.6601
 X_POSIX       0  write      180       188743680         1048576      1.6601      1.6720
 X_POSIX       0  write      181       189792256         1048576      1.6720      1.6851
 X_POSIX       0  write      182       190840832         1048576      1.6851      1.6981
 X_POSIX       0  write      183       191889408         1048576      1.6981      1.7120
 X_POSIX       0  write      184       192937984         1048576      1.7120      1.7260
 X_POSIX       0  write      185       193986560         1048576      1.7261      1.7411
 X_POSIX       0  write      186       195035136         1048576      1.7411      1.7540
 X_POSIX       0  write      187       196083712         1048576      1.7540      1.7693
 X_POSIX       0  write      188       197132288         1048576      1.7694      1.7798
 X_POSIX       0  write      189       198180864         1048576      1.7798      1.7920
 X_POSIX       0  write      190       199229440         1048576      1.7921      1.8068
 X_POSIX       0  write      191       200278016         1048576      1.8068      1.8161
 X_POSIX       0  write      192       201326592         1048576      1.8161      1.8270
 X_POSIX       0  write      193       202375168         1048576      1.8270      1.8401
 X_POSIX       0  write      194       203423744         1048576      1.8401      1.8531
 X_POSIX       0  write      195       204472320         1048576      1.8531      1.8641
 X_POSIX       0  write      196       205520896         1048576      1.8641      1.8750
 X_POSIX       0  write      197       206569472         1048576      1.8750      1.8881
 X_POSIX       0  write      198       207618048         1048576      1.8881      1.9011
 X_POSIX       0  write      199       208666624         1048576      1.9011      1.9150
 X_POSIX       0  write      200       209715200         1048576      1.9150      1.9261
 X_POSIX       0  write      201       210763776         1048576      1.9261      1.9391
 X_POSIX       0  write      202       211812352         1048576      1.9391      1.9528
 X_POSIX       0  write      203       212860928         1048576      1.9528      1.9618
 X_POSIX       0  write      204       213909504         1048576      1.9618      1.9741
 X_POSIX       0  write      205       214958080         1048576      1.9741      1.9860
 X_POSIX       0  write      206       216006656         1048576      1.9860      1.9990
 X_POSIX       0  write      207       217055232         1048576      1.9991      2.0155
 X_POSIX       0  write      208       218103808         1048576      2.0155      2.0240
 X_POSIX       0  write      209       219152384         1048576      2.0240      2.0360
 X_POSIX       0  write      210       220200960         1048576      2.0361      2.0490
 X_POSIX       0  write      211       221249536         1048576      2.0490      2.0630
 X_POSIX       0  write      212       222298112         1048576      2.0630      2.0738
 X_POSIX       0  write      213       223346688         1048576      2.0738      2.0861
 X_POSIX       0  write      214       224395264         1048576      2.0861      2.0990
 X_POSIX       0  write      215       225443840         1048576      2.0991      2.1130
 X_POSIX       0  write      216       226492416         1048576      2.1130      2.1281
 X_POSIX       0  write      217       227540992         1048576      2.1281      2.1410
 X_POSIX       0  write      218       228589568         1048576      2.1410      2.1561
 X_POSIX       0  write      219       229638144         1048576      2.1561      2.1700
 X_POSIX       0  write      220       230686720         1048576      2.1700      2.1840
 X_POSIX       0  write      221       231735296         1048576      2.1840      2.1959
 X_POSIX       0  write      222       232783872         1048576      2.1959      2.2090
 X_POSIX       0  write      223       233832448         1048576      2.2090      2.2228
 X_POSIX       0  write      224       234881024         1048576      2.2228      2.2351
 X_POSIX       0  write      225       235929600         1048576      2.2351      2.2470
 X_POSIX       0  write      226       236978176         1048576      2.2470      2.2634
 X_POSIX       0  write      227       238026752         1048576      2.2634      2.2711
 X_POSIX       0  write      228       239075328         1048576      2.2711      2.2820
 X_POSIX       0  write      229       240123904         1048576      2.2821      2.2940
 X_POSIX       0  write      230       241172480         1048576      2.2940      2.3070
 X_POSIX       0  write      231       242221056         1048576      2.3070      2.3211
 X_POSIX       0  write      232       243269632         1048576      2.3211      2.3320
 X_POSIX       0  write      233       244318208         1048576      2.3320      2.3440
 X_POSIX       0  write      234       245366784         1048576      2.3440      2.3580
 X_POSIX       0  write      235       246415360         1048576      2.3580      2.3711
 X_POSIX       0  write      236       247463936         1048576      2.3711      2.3823
 X_POSIX       0  write      237       248512512         1048576      2.3823      2.3940
 X_POSIX       0  write      238       249561088         1048576      2.3940      2.4080
 X_POSIX       0  write      239       250609664         1048576      2.4080      2.4221
 X_POSIX       0  write      240       251658240         1048576      2.4221      2.4350
 X_POSIX       0  write      241       252706816         1048576      2.4350      2.4490
 X_POSIX       0  write      242       253755392         1048576      2.4490      2.4620
 X_POSIX       0  write      243       254803968         1048576      2.4620      2.4761
 X_POSIX       0  write      244       255852544         1048576      2.4761      2.4901
 X_POSIX       0  write      245       256901120         1048576      2.4901      2.5021
 X_POSIX       0  write      246       257949696         1048576      2.5021      2.5185
 X_POSIX       0  write      247       258998272         1048576      2.5185      2.5205
 X_POSIX       0  write      248       260046848         1048576      2.5205      2.5360
 X_POSIX       0  write      249       261095424         1048576      2.5360      2.5490
 X_POSIX       0  write      250       262144000         1048576      2.5491      2.5610
 X_POSIX       0  write      251       263192576         1048576      2.5610      2.5750
 X_POSIX       0  write      252       264241152         1048576      2.5751      2.5860
 X_POSIX       0  write      253       265289728         1048576      2.5860      2.5980
 X_POSIX       0  write      254       266338304         1048576      2.5980      2.6111
 X_POSIX       0  write      255       267386880         1048576      2.6111      2.6250
 X_POSIX       0  write      256       268435456         1048576      2.6250      2.6357
 X_POSIX       0  write      257       269484032         1048576      2.6357      2.6481
 X_POSIX       0  write      258       270532608         1048576      2.6481      2.6610
 X_POSIX       0  write      259       271581184         1048576      2.6610      2.6777
 X_POSIX       0  write      260       272629760         1048576      2.6777      2.6871
 X_POSIX       0  write      261       273678336         1048576      2.6871      2.6990
 X_POSIX       0  write      262       274726912         1048576      2.6990      2.7120
 X_POSIX       0  write      263       275775488         1048576      2.7120      2.7261
 X_POSIX       0  write      264       276824064         1048576      2.7261      2.7468
 X_POSIX       0  write      265       277872640         1048576      2.7468      2.7488
 X_POSIX       0  write      266       278921216         1048576      2.7488      2.7648
 X_POSIX       0  write      267       279969792         1048576      2.7648      2.7791
 X_POSIX       0  write      268       281018368         1048576      2.7791      2.7900
 X_POSIX       0  write      269       282066944         1048576      2.7900      2.8021
 X_POSIX       0  write      270       283115520         1048576      2.8021      2.8151
 X_POSIX       0  write      271       284164096         1048576      2.8151      2.8314
 X_POSIX       0  write      272       285212672         1048576      2.8314      2.8401
 X_POSIX       0  write      273       286261248         1048576      2.8401      2.8520
 X_POSIX       0  write      274       287309824         1048576      2.8520      2.8651
 X_POSIX       0  write      275       288358400         1048576      2.8651      2.8791
 X_POSIX       0  write      276       289406976         1048576      2.8791      2.8930
 X_POSIX       0  write      277       290455552         1048576      2.8930      2.9050
 X_POSIX       0  write      278       291504128         1048576      2.9050      2.9180
 X_POSIX       0  write      279       292552704         1048576      2.9181      2.9357
 X_POSIX       0  write      280       293601280         1048576      2.9357      2.9431
 X_POSIX       0  write      281       294649856         1048576      2.9431      2.9550
 X_POSIX       0  write      282       295698432         1048576      2.9550      2.9680
 X_POSIX       0  write      283       296747008         1048576      2.9681      2.9821
 X_POSIX       0  write      284       297795584         1048576      2.9821      2.9930
 X_POSIX       0  write      285       298844160         1048576      2.9930      3.0050
 X_POSIX       0  write      286       299892736         1048576      3.0050      3.0190
 X_POSIX       0  write      287       300941312         1048576      3.0190      3.0320
 X_POSIX       0  write      288       301989888         1048576      3.0320      3.0431
 X_POSIX       0  write      289       303038464         1048576      3.0431      3.0551
 X_POSIX       0  write      290       304087040         1048576      3.0551      3.0681
 X_POSIX       0  write      291       305135616         1048576      3.0681      3.0820
 X_POSIX       0  write      292       306184192         1048576      3.0821      3.0960
 X_POSIX       0  write      293       307232768         1048576      3.0960      3.1082
 X_POSIX       0  write      294       308281344         1048576      3.1082      3.1208
 X_POSIX       0  write      295       309329920         1048576      3.1208      3.1348
 X_POSIX       0  write      296       310378496         1048576      3.1348      3.1458
 X_POSIX       0  write      297       311427072         1048576      3.1458      3.1578
 X_POSIX       0  write      298       312475648         1048576      3.1578      3.1708
 X_POSIX       0  write      299       313524224         1048576      3.1708      3.1848
 X_POSIX       0  write      300       314572800         1048576      3.1848      3.1988
 X_POSIX       0  write      301       315621376         1048576      3.1988      3.2108
 X_POSIX       0  write      302       316669952         1048576      3.2108      3.2238
 X_POSIX       0  write      303       317718528         1048576      3.2238      3.2390
 X_POSIX       0  write      304       318767104         1048576      3.2390      3.2498
 X_POSIX       0  write      305       319815680         1048576      3.2498      3.2618
 X_POSIX       0  write      306       320864256         1048576      3.2618      3.2748
 X_POSIX       0  write      307       321912832         1048576      3.2748      3.2890
 X_POSIX       0  write      308       322961408         1048576      3.2890      3.2998
 X_POSIX       0  write      309       324009984         1048576      3.2998      3.3118
 X_POSIX       0  write      310       325058560         1048576      3.3118      3.3248
 X_POSIX       0  write      311       326107136         1048576      3.3248      3.3388
 X_POSIX       0  write      312       327155712         1048576      3.3388      3.3519
 X_POSIX       0  write      313       328204288         1048576      3.3519      3.3618
 X_POSIX       0  write      314       329252864         1048576      3.3618      3.3748
 X_POSIX       0  write      315       330301440         1048576      3.3748      3.3892
